,count,rmse,mae,mape,mean_true,mean_pred,bias,relative_bias
Rear end,492,280.94432547228024,143.9902267728976,11.276370741613052,1227.2010569105692,1210.3539,-16.84717507463165,-1.3728129534897695
Other side pulled out of side road,121,325.930108950161,171.41406753413932,12.189238734153633,1276.151570247934,1227.1033,-49.04829876355893,-3.8434540149513516
Other,76,274.56211675565606,121.27116833335472,10.501218695728054,1126.0110526315789,1086.1862,-39.82489540501638,-3.536812122042886
Other side turned across Clt's path,56,362.95190026440076,143.693506665911,8.053689919906917,1317.625,1268.9266,-48.6983642578125,-3.695919875367612
Rear end - Clt pushed into next vehicle,45,309.003971759876,149.93563741048175,12.164283073624972,1153.937777777778,1172.5061,18.56832573784709,1.60912712066724
Other side changed lanes and collided with clt's vehicle,44,212.80675447498015,105.73739353526722,11.538490586306503,1032.9965909090909,1065.3862,32.389639559659145,3.1355030447055565
Rear end - 3 car - Clt at front,28,239.4928717197954,113.87669570922851,9.682157977422873,1224.3475,1207.5381,-16.809414062500082,-1.3729283608207703
Other side reversed into Clt's vehicle,21,256.49291572745153,115.2177461751302,8.81373669069467,1166.3700000000001,1069.858,-96.51196777343762,-8.27455848259451
Other side pulled on to roundabout,16,152.67969959173857,117.6712200164795,17.53346028940514,1222.820625,1240.2874,17.466728515624936,1.428396623227134
Other side drove on wrong side of the road,16,137.59001753361113,73.27759723663331,9.811618332218563,1040.7625,1091.3575,50.595043945312455,4.861343865225011
Other side changed lanes on a roundabout colliding with clt's vehicle,14,119.31638612407966,78.68245731898716,8.352624640361908,1057.435714285714,1019.3664,-38.069320242745334,-3.6001545747356123
Other side collided with Clt's parked vehicle,12,169.61981407765387,97.19449320475258,9.268540551302097,1095.2341666666669,1171.7422,76.50802083333315,6.985540002480425
