,count,rmse,mae,mape,mean_true,mean_pred,bias,relative_bias
F. 6 months,220,275.0594102691676,147.87041441483933,11.144778441480724,1250.2748181818183,1241.9832,-8.291663884943318,-0.6631873060517421
G. 7 months,144,371.4852437061226,163.57103259616426,11.136665742225427,1308.3497916666665,1263.4102,-44.93963541666653,-3.434833383465389
E. 5 months,143,257.5814877887407,127.35473606776523,11.139552706601757,1108.3087412587415,1116.789,8.48019917094598,0.7651477296222303
H. 8 months,116,186.14894568588204,100.14674791533372,8.596731324775403,1078.1781896551724,1090.9989,12.820711712015054,1.1891087980656916
D. 4 months,84,283.7744735094112,132.9172566513788,10.519549685955434,1155.0980952380953,1127.7825,-27.31562453497031,-2.3647882935292923
A. 1 month,68,262.24754871546895,147.01041204115924,10.326831794678654,1316.466323529412,1247.7588,-68.70753446691197,-5.219087889974189
I. 9 months,46,213.89533913893095,127.40596544348676,10.443191273193998,1262.7134782608696,1228.2197,-34.49375169836958,-2.731716441791505
B. 2 months,44,410.7696286022652,207.07638945146044,17.2457495372437,1305.8747727272728,1226.1779,-79.69691628196028,-6.102952438197127
J. 10 months,35,159.99767202786134,90.85364125279018,9.51858059746615,1134.1680000000001,1134.1685,0.0004570312498799467,4.029660948642059e-05
C. 3 months,22,292.8741476981916,138.49763080943714,10.328003931184004,1212.3331818181819,1250.0848,37.751657049005644,3.1139671515373406
L. 12 months,16,352.8911275164371,205.2998351287842,21.146046666281293,1447.248125,1372.751,-74.49714843750007,-5.147503537964512
