Feature,Importance,Rank
Feature 46,0.14374628046613358,1
Feature 21,0.12311825425243864,2
Feature 47,0.11355602548734653,3
Feature 2,0.07902804454727604,4
Feature 45,0.05989070405543181,5
Feature 20,0.055105806633992616,6
Feature 44,0.050648620932264486,7
Feature 38,0.031771244903349934,8
Feature 36,0.03168506854425804,9
Feature 19,0.0312635088861742,10
Feature 50,0.030030082964810318,11
Feature 23,0.02401520121047322,12
Feature 10,0.023954808635006417,13
Feature 39,0.02231296063523745,14
Feature 37,0.022099824088024873,15
Feature 15,0.021863592042424097,16
Feature 77,0.019022772185529967,17
Feature 7,0.010583118443099702,18
Feature 4,0.007052284190683676,19
Feature 80,0.005427686418221573,20
Feature 78,0.00514040882651138,21
Feature 81,0.0047371432566861394,22
Feature 14,0.004498749645353543,23
Feature 76,0.004047962382527622,24
Feature 34,0.004035133265011838,25
Feature 35,0.003567005088007861,26
Feature 30,0.00316939214222352,27
Feature 22,0.003143454279163153,28
Feature 32,0.003080268758929504,29
Feature 79,0.002891939028244857,30
Feature 17,0.0028206801328358976,31
Feature 26,0.002791602029699002,32
Feature 13,0.002715190295730245,33
Feature 41,0.0026933450794940955,34
Feature 25,0.0025438773508190313,35
Feature 40,0.0025106970574397852,36
Feature 11,0.0023912519249463414,37
Feature 24,0.002105890679078347,38
Feature 28,0.0021052613230073246,39
Feature 43,0.002102474315054289,40
Feature 42,0.0020708523148368764,41
Feature 16,0.002066892643651643,42
Feature 82,0.0019223713800208815,43
Feature 31,0.0014400098888859593,44
Feature 12,0.0013303165627330605,45
Feature 5,0.001248441706518863,46
Feature 51,0.0012197528051483555,47
Feature 54,0.0011038097399310737,48
Feature 49,0.0010459446787803187,49
Feature 52,0.0010391444949698326,50
Feature 48,0.001020969579749207,51
Feature 29,0.0009988944573572085,52
Feature 18,0.0009682764892638795,53
Feature 53,0.0009374083977237983,54
Feature 1,0.0007695839656923009,55
Feature 62,0.0006240506170630126,56
Feature 59,0.0005803120456460108,57
Feature 75,0.0005543651328859709,58
Feature 27,0.0005508860374542602,59
Feature 58,0.0005501020881793311,60
Feature 67,0.0005069345365214083,61
Feature 56,0.0005024214788729575,62
Feature 74,0.0004872375273090098,63
Feature 65,0.00047712607780832513,64
Feature 64,0.000433888362597018,65
Feature 0,0.00043234887726893316,66
Feature 9,0.00042576076616036515,67
Feature 60,0.0004236777241172288,68
Feature 71,0.0004224954933288294,69
Feature 69,0.0004150630970284214,70
Feature 72,0.00040570406282791437,71
Feature 68,0.0004004717159081005,72
Feature 66,0.00039223834656510137,73
Feature 70,0.0003836743581348645,74
Feature 61,0.0003524946759560982,75
Feature 33,0.0003521166000910872,76
Feature 55,0.00034382263856881754,77
Feature 63,0.0003366487012963159,78
Feature 73,0.0003178613876343229,79
Feature 57,0.0003117228886005211,80
Feature 3,0.00030732848131795803,81
Feature 6,0.0002587912901905606,82
Feature 8,1.695024631132061e-07,83
